candidate_key,name,locality,address,evidence_tier,current_disposition,human_decision,proposed_match_id,unresolved_reason,required_action,imported_private,public_eligible
"canelones:el-pinar-norte:nuestro-mundo","Residencial Nuestro Mundo","El Pinar Norte","Joaquín Suárez M60A S22","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:marindia:las-lunas","Casa Hogar Las Lunas","Marindia","Capiatá esquina Cahire","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:san-jose-carrasco:la-la","La La","San José de Carrasco","Rambla Tomás Berreta M59 S14","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:el-pinar:la-macarena","La Macarena","El Pinar","Macarena M145 S28","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:solymar:kairos-1","Kairo's 1","Solymar","Marques Castro M15 S26","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:lomas:kairos-2","Kairo's 2","Lomas de Solymar","Cruz del Sur M314 S6","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:el-pinar-norte:los-angeles","Los Ángeles","El Pinar Norte","M147 S127","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:atlantida:nuevo-vivir","Residencial Nuevo Vivir","Atlántida","Av. Circunvalación esquina Guayabos","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:parque-del-plata:phoenix","Phoenix Residencial","Parque del Plata","Rambla, bajada 11","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:san-ramon:el-refugio","El Refugio","San Ramón","Baltasar Brum, a pocos metros de Av. Batlle y Ordóñez","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:las-piedras:guga","Residencial Guga","Las Piedras","Magallanes","C","needs_more_evidence","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:las-piedras:viata-demna","Residencial Viata Demna","Las Piedras","Wilson Ferreira Aldunate 011","C","needs_more_evidence","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:el-dorado:maria-cristina","Hogar Residencial María Cristina","El Dorado","Elías Regules M1 S4 y Pública","C","needs_more_evidence","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:pando:renacer","Residencial Renacer","Pando","Luis A. de Herrera 732","C","needs_more_evidence","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:colonia-nicolich:san-pablo","San Pablo","Colonia Nicolich","Ruta 101 km 28.450","C","needs_more_evidence","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:parque-del-plata:hilos-plateados","Hilos Plateados","Parque del Plata","Calle 50 metros esquina Calle 3","C","needs_more_evidence","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:parque-del-plata:eublana","Eublana Residencial","Parque del Plata","Joaquín Suárez, entre calles 8 y 19","C","needs_more_evidence","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:el-pinar:el-arca","El Arca","El Pinar","","C","address_missing","needs_more_evidence","","Obtener una dirección física exacta y una fuente institucional o independiente.","needs_more_evidence","true","false"
"canelones:salinas:alta-gracia","Alta Gracia","Salinas","","C","address_missing","needs_more_evidence","","Obtener una dirección física exacta y una fuente institucional o independiente.","needs_more_evidence","true","false"
"canelones:lomas:la-calaguala","La Calaguala","Lomas de Solymar","","C","address_missing","needs_more_evidence","","Obtener una dirección física exacta y una fuente institucional o independiente.","needs_more_evidence","true","false"
"canelones:canelones:risas-y-amor","Casa Hogar Risas y Amor","Canelones","","C","address_missing","needs_more_evidence","","Obtener una dirección física exacta y una fuente institucional o independiente.","needs_more_evidence","true","false"
"canelones:santa-lucia:la-quica","La Quica","Santa Lucía","","C","address_missing","needs_more_evidence","","Obtener una dirección física exacta y una fuente institucional o independiente.","needs_more_evidence","true","false"
"canelones:pinamar:la-casa-de-mama","La Casa de Mamá","Pinamar Sur","","C","address_missing","needs_more_evidence","","Obtener una dirección física exacta y una fuente institucional o independiente.","needs_more_evidence","true","false"
"canelones:progreso:residencial-progreso","Residencial Progreso","Progreso","Las Acacias 6","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"canelones:san-ramon:hogar-del-carmen","Hogar del Carmen","San Ramón","6 de Junio s/n","A","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"canelones:san-ramon:santa-maria","Residencial Santa María","San Ramón","Bella Vista 2057","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"canelones:tala:vida-nueva","Residencial Vida Nueva","Tala","25 de Agosto y Villegas","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"canelones:tala:san-cono","San Cono","Tala","Continuación Treinta y Tres esquina Paysandú","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"canelones:pando:abu","Residencial Abu","Pando","General Artigas 893","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"canelones:lagomar:el-hogar-ii","El Hogar II","Lagomar","Achiras M24 S20","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"canelones:lomas:canaan","Residencial Canaan","Lomas de Solymar","Hawaii, entre Virazón y Pejerrey","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"canelones:el-pinar:zafiros","Residencial Zafiros","El Pinar","Av. Pérez Butler km 30, M193 S4, entre Patria y Machado","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"canelones:salinas:residencia-salinas","Residencia Salinas","Salinas","Zorrilla de San Martín, entre Yandubayú y Abaroré","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"canelones:pinamar:mi-sueno","Hogar Mi Sueño","Pinamar","Nogueira esquina Ruta Interbalnearia","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"canelones:el-bosque:la-bonne-vie-alt","La Bonne Vie","El Bosque","Mar de Ajó M15 S2, entre Mar del Plata y Los Eucaliptus","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"canelones:medanos:brisas-del-mar-relationship","Brisas del Mar","Médanos de Solymar","Calle Indiana","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"canelones:shangrila:residencial-shangrila","Residencial Shangrilá","Shangrilá","Paraguay M13 S20, esquina Sáenz Peña","C","exclusion_index_gap","repair_exclusion_index","","Las fuentes oficiales indican una sede conocida que falta en el índice; no debe tratarse como descubrimiento nuevo.","repair_exclusion_index","false","false"
"canelones:lagomar:genesis","Genesis","Lagomar","Manuel Varela Cáceres M102 S3, entre Río Ebro y Rambla","C","exclusion_index_gap","repair_exclusion_index","","Las fuentes oficiales indican una sede conocida que falta en el índice; no debe tratarse como descubrimiento nuevo.","repair_exclusion_index","false","false"
"canelones:lagomar:mely-an","Mely An","Lagomar","García Arocena M8 S14","C","exclusion_index_gap","repair_exclusion_index","","Las fuentes oficiales indican una sede conocida que falta en el índice; no debe tratarse como descubrimiento nuevo.","repair_exclusion_index","false","false"
"canelones:el-bosque:de-la-costa","Residencial de la Costa","El Bosque","Rambla Costanera entre Biarritz y Mar del Plata","C","exclusion_index_gap","repair_exclusion_index","","Las fuentes oficiales indican una sede conocida que falta en el índice; no debe tratarse como descubrimiento nuevo.","repair_exclusion_index","false","false"
"canelones:el-pinar:la-oliva","La Oliva","El Pinar","Av. Juan María Pérez y Fuentes 15800","C","exclusion_index_gap","repair_exclusion_index","","Las fuentes oficiales indican una sede conocida que falta en el índice; no debe tratarse como descubrimiento nuevo.","repair_exclusion_index","false","false"
"canelones:las-piedras:cronos","Cronos","Las Piedras","Baltasar Brum 705","C","exclusion_index_gap","repair_exclusion_index","","Las fuentes oficiales indican una sede conocida que falta en el índice; no debe tratarse como descubrimiento nuevo.","repair_exclusion_index","false","false"
"canelones:las-piedras:don-arturo","Don Arturo","Las Piedras","Senén Rodríguez 27","C","exclusion_index_gap","repair_exclusion_index","","Las fuentes oficiales indican una sede conocida que falta en el índice; no debe tratarse como descubrimiento nuevo.","repair_exclusion_index","false","false"
"canelones:santa-rosa:aniceto-cervieri","Hogar Aniceto Cervieri","Santa Rosa","José E. Rodó s/n","A","exclusion_index_gap","repair_exclusion_index","","Las fuentes oficiales indican una sede conocida que falta en el índice; no debe tratarse como descubrimiento nuevo.","repair_exclusion_index","false","false"
"canelones:san-bautista:hogar-san-bautista","Hogar San Bautista","San Bautista","Luis A. de Herrera s/n","A","exclusion_index_gap","repair_exclusion_index","","Las fuentes oficiales indican una sede conocida que falta en el índice; no debe tratarse como descubrimiento nuevo.","repair_exclusion_index","false","false"
"canelones:parque-del-plata:payma","PAYMA","Parque del Plata","Calle 16","C","exclusion_index_gap","repair_exclusion_index","","Las fuentes oficiales indican una sede conocida que falta en el índice; no debe tratarse como descubrimiento nuevo.","repair_exclusion_index","false","false"
"canelones:la-floresta:anos-dorados","Los Años Dorados","La Floresta","Argentina s/n","C","exclusion_index_gap","repair_exclusion_index","","Las fuentes oficiales indican una sede conocida que falta en el índice; no debe tratarse como descubrimiento nuevo.","repair_exclusion_index","false","false"
